lesson	lemma_iast	lemma_slp1	count_all	rank_all	band
I	parasmaipada	parasmEpada	14	14614	редкое
I	ātmanepada	Atmanepada	13	15149	редкое
XVII	du	du	68	6142	редкое
XVII	sarvanāmasthāna	sarvanAmasTAna	12	15765	редкое
XVIII	i	i	2133	307	топ-1000
XVIII	vṛddhi	vfdDi	1019	682	топ-1000
XVIII	nī	nI	1809	365	топ-1000
XVIII	śru	Sru	9431	47	топ-100
XVIII	bhū	BU	32612	13	топ-100
XVIII	kṛ	kf	33251	12	топ-100
XVIII	pṝ	pF	4	26474	редкое
XXV	añc	aYc	20	12205	редкое
XXV	aṅ	aN	6	21838	редкое
XXV	prā	prA	57	6864	редкое
XXV	prāk	prAk	462	1507	редкое
XXVI	kroṣṭṛ	krozwf	13	15149	редкое
XXVI	kroṣṭu	krozwu	16	13704	редкое
XXVI	du	du	68	6142	редкое
XXVI	tṛ	tf	638	1113	редкое
XXVI	pūṣan	pUzan	265	2361	редкое
XXVI	aryaman	aryaman	227	2665	редкое
XXVI	āḥ	AH	8	19118	редкое
XXVI	han	han	8257	55	топ-100
XXVI	an	an	940	753	топ-1000
XXVI	pūṣā	pUzA	6	21838	редкое
XXVIII	i	i	2133	307	топ-1000
XXVIII	krudh	kruD	1574	416	топ-1000
XXVIII	dyut	dyut	65	6336	редкое
XXVIII	pat	pat	2775	211	топ-1000
XXVIII	lap	lap	24	11092	редкое
XXVIII	vas	vas	2220	292	топ-1000
XXVIII	uṣita	uzita	4	26474	редкое
XXVIII	śvas	Svas	364	1830	редкое
XXVIII	has	has	381	1765	редкое
XXVIII	patita	patita	24	11092	редкое
XXVIII	lapita	lapita	2	35949	редкое
XXVIII	śvasita	Svasita	20	12205	редкое
XXVIII	hasita	hasita	66	6270	редкое
XXVIII	dh	D	2	35949	редкое
XXVIII	kup	kup	500	1398	редкое
XXVIII	sam	sam	1122	626	топ-1000
XXVIII	khan	Kan	149	3640	редкое
XXVIII	khāta	KAta	38	8661	редкое
XXVIII	jan	jan	7380	62	топ-100
XXVIII	jāta	jAta	173	3257	редкое
XXVIII	tan	tan	440	1567	редкое
XXVIII	tata	tata	13	15149	редкое
XXVIII	man	man	4122	108	топ-1000
XXVIII	mata	mata	403	1685	редкое
XXVIII	kṣata	kzata	222	2708	редкое
XXVIII	san	san	155	3542	редкое
XXVIII	sāta	sAta	7	20365	редкое
XXVIII	vat	vat	3773	122	топ-1000
XXVIII	ta	ta	37	8823	редкое
XXVIII	sa	sa	13017	32	топ-100
XXVIII	tena	tena	1324	519	топ-1000
XXXIV	tatpuruṣa	tatpuruza	61	6591	редкое
XXXIV	rājan	rAjan	17082	23	топ-100
XXXIV	rāja	rAja	2881	198	топ-1000
XXXIV	sakhi	saKi	834	875	топ-1000
XXXIV	sakha	saKa	116	4341	редкое
XXXIV	pathin	paTin	1005	698	топ-1000
XXXIV	patha	paTa	378	1779	редкое
XXXIV	su	su	11408	37	топ-100
XXXIV	mahārāja	mahArAja	5	23796	редкое
XXXIV	apatha	apaTa	13	15149	редкое
XXXVIII	vṛddhi	vfdDi	1019	682	топ-1000
XXXVIII	au	O	8	19118	редкое
XXXVIII	guṇa	guRa	5780	72	топ-100
XXXVIII	tu	tu	35004	10	топ-100
XXXVIII	ru	ru	81	5464	редкое
XXXVIII	stu	stu	1522	432	топ-1000
XXXVIII	stauti	stOti	2	35949	редкое
XXXVIII	ūrṇu	UrRu	2	35949	редкое
XXXVIII	ūrṇoti	UrRoti	2	35949	редкое
XXXVIII	vibhāṣā	viBAzA	139	3829	редкое
XLV	i	i	2133	307	топ-1000
XLV	śi	Si	9	18073	редкое
XLV	śat	Sat	2	35949	редкое
XLV	guṇa	guRa	5780	72	топ-100
XLV	sarj	sarj	2	35949	редкое
XLV	sṛj	sfj	1840	361	топ-1000
XLV	dṛś	dfS	14755	27	топ-100
XLV	arc	arc	358	1854	редкое
XLV	dhā	DA	2272	283	топ-1000
XLV	hu	hu	1652	395	топ-1000
XLV	vid	vid	9384	48	топ-100
XLV	ah	ah	5988	69	топ-100
XLV	gam	gam	15950	25	топ-100
XLV	dā	dA	9987	43	топ-100
XLV	grah	grah	4310	100	топ-100
XLV	pā	pA	4243	101	топ-1000
XLV	han	han	8257	55	топ-100
XLV	aṅ	aN	6	21838	редкое
XLV	kroṣṭṛ	krozwf	13	15149	редкое
XLV	kroṣṭu	krozwu	16	13704	редкое
XLV	āḥ	AH	8	19118	редкое
XLV	krudh	kruD	1574	416	топ-1000
XLV	kup	kup	500	1398	редкое
XLV	sam	sam	1122	626	топ-1000
XLV	san	san	155	3542	редкое
XLV	sāta	sAta	7	20365	редкое
XLV	ya	ya	55	7019	редкое
XLV	ta	ta	37	8823	редкое
XLV	na	na	53981	3	топ-100
XLV	tvā	tvA	2	35949	редкое
XLV	tavya	tavya	3	30141	редкое
XLV	as	as	24567	17	топ-100
XLV	brū	brU	7953	56	топ-100
XLV	tāt	tAt	2	35949	редкое
XLV	iṣya	izya	1	47379	редкое
XLV	sya	sya	6	21838	редкое
