ранг,кластер_iast,кластер_slp1,частота,доля_%,пример1,пример2
1,pr,pr,8643,6.199,paripapraccha,caikapriyadarśanaḥ
2,sy,sy,5964,4.277,kasya,jātaroṣasya
3,kṣ,kz,5661,4.060,pīnavakṣā,viśālākṣo
4,tr,tr,4892,3.509,cāritreṇa,trilokajño
5,nt,nt,4300,3.084,vrajantaṃ,dhyāyantīm
6,tv,tv,4215,3.023,tvaṃ,śrutvā
7,rv,rv,3450,2.474,sarvabhūteṣu,dhanurvede
8,st,st,3298,2.365,viśvastaḥ,śatayojanavistīrṇaṃ
9,ty,ty,2935,2.105,satyavākyo,satyasaṃdhaś
10,śr,Sr,2619,1.878,śrotuṃ,śrutvā
11,śc,Sc,2446,1.754,pāpaniścayaḥ,kaścin
12,kr,kr,2352,1.687,jitakrodho,suvikramaḥ
13,ry,ry,2266,1.625,vīryavān,mahāvīryo
14,ṣṭ,zw,2248,1.612,prahṛṣṭo,dṛṣṭā
15,rm,rm,2022,1.450,dharmajñaś,dharmajñaḥ
16,sv,sv,1995,1.431,tapaḥsvādhyāyanirataṃ,tapasvī
17,kt,kt,1906,1.367,yuktaḥ,yuktaḥ
18,ddh,dD,1881,1.349,buddhimān,garjaddharivaraḥ
19,tm,tm,1869,1.340,ātmavān,niyatātmā
20,ny,ny,1853,1.329,nyavasan,nyāsaṃ
21,vy,vy,1848,1.325,vyasarjayat,jāhnavyās
22,tt,tt,1807,1.296,dattavarā,uttamā
23,gr,gr,1732,1.242,kambugrīvo,bharatāgrajaḥ
24,br,br,1630,1.169,abravīt,brahmalokaṃ
25,dy,dy,1588,1.139,dyutimān,udyuktān
26,ṣy,zy,1547,1.110,niṣpiṣya,bhaviṣyanti
27,rt,rt,1545,1.108,kīrtitā,nivartayāmāsa
28,sm,sm,1523,1.092,asmin,smṛtimān
29,rṣ,rz,1516,1.087,maharṣe,vānararṣabhaḥ
30,sth,sT,1495,1.072,janasthānanivāsinī,prasthāpayāmāsa
31,jñ,jY,1441,1.033,dharmajñaś,kṛtajñaś
32,nn,nn,1325,0.950,jñānasampannaḥ,evaṃguṇasampannaṃ
