whitney_no,root,homonym,gloss,ryad_derived,ryad_conf,z_series,z_set,set_derived,z_url,ryad_1978,ryad_1978_basis,openness_1978,polnoizm_1978,polnoizm_1978_basis
22,as,1,be,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=1,A₁,§66-rule,closed,full,§67-A1-list
2,akṣ,1,attain,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=2,A₁,§66-rule,closed,defective,§67-A1-default
6,aj,,drive,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=3,A₁,§66-rule,closed,defective,§67-A1-default
8,aṭ,,wander,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=4,A₁,§66-rule,closed,defective,§67-A1-default
10,at,,wander,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=5,A₁,§66-rule,closed,defective,§67-A1-default
11,ad,,eat,A₁,medium,A1,aniṭ,,https://samskrtam.ru/z/verb.php?id=6,A₁,§66-rule,closed,defective,§67-A1-default
20,aś,1,attain,A₁,medium,A1,veṭ,,https://samskrtam.ru/z/verb.php?id=7,A₁,§66-rule,closed,defective,§67-A1-default
21,aś,2,eat,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=8,A₁,§66-rule,closed,defective,§67-A1-default
23,as,2,throw,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=9,A₁,§66-rule,closed,full,§67-A1-list
24,ah,,say,A₁,medium,A1,aniṭ,,https://samskrtam.ru/z/verb.php?id=10,A₁,§66-rule,closed,defective,§67-A1-default
2,akṣ,1,attain,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=933,A₁,§66-rule,closed,defective,§67-A1-default
597,yaj,,offer,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=11,A₁,§66-rule,closed,full,§67-A1-list
698,vakṣ,,increase,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=12,A₁,§66-rule,closed,defective,§67-A1-default
699,vac,,speak,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=13,A₁,§66-rule,closed,full,§67-A1-list
700,vaj,,be strong,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=14,A₁,§66-rule,closed,defective,§67-A1-default
704,vad,,speak,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=15,A₁,§66-rule,closed,full,§67-A1-list
708,vap,1,strew,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=16,A₁,§66-rule,closed,defective,§67-A1-default
709,vap,2,shear,A₁,medium,A1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=17,A₁,§66-rule,closed,defective,§67-A1-default
714,vaś,,be eager,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=18,A₁,§66-rule,closed,defective,§67-A1-default
715,vas,1,shine,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=19,A₁,§66-rule,closed,full,§67-A1-list
716,vas,2,clothe,A₁,medium,A1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=20,A₁,§66-rule,closed,defective,§67-A1-named-exclusion
718,vah,,carry,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=21,A₁,§66-rule,closed,defective,§67-A1-default
72,ṛj,2,shine,R₁,high,A1,,,https://samskrtam.ru/z/verb.php?id=22,R₁,§66-rule,closed,full,§67-RMN-default(majority)
81,kath,,talk,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=23,A₁,§66-rule,closed,defective,§67-A1-default
80,katth,,boast,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=24,A₁,§66-rule,closed,defective,§67-A1-default
87,kaṣ,,scratch,A₁,medium,A1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=25,A₁,§66-rule,closed,defective,§67-A1-default
88,kas,,open,A₁,medium,A1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=26,A₁,§66-rule,closed,defective,§67-A1-default
116,krakṣ,,crash,A₁,medium,A1,,,https://samskrtam.ru/z/verb.php?id=27,A₁,§66-rule,closed,defective,§67-A1-default
117,krath,,be jubilant,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=28,A₁,§66-rule,closed,defective,§67-A1-default
133,kvath,,boil,A₁,medium,A1,seṭ,,https://samskrtam.ru/z/verb.php?id=29,A₁,§66-rule,closed,defective,§67-A1-default
