whitney_no,root,homonym,gloss,ryad_1978,ryad_1978_basis,openness_1978,polnoizm_1978,polnoizm_1978_basis,z_set,ryad_2026,z_series_2014
22,as,1,be,A₁,§66-rule,closed,full,§67-A1-list,seṭ,A₁,A1
2,akṣ,1,attain,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
6,aj,,drive,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
8,aṭ,,wander,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
10,at,,wander,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
11,ad,,eat,A₁,§66-rule,closed,defective,§67-A1-default,aniṭ,A₁,A1
20,aś,1,attain,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
21,aś,2,eat,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
23,as,2,throw,A₁,§66-rule,closed,full,§67-A1-list,veṭ,A₁,A1
24,ah,,say,A₁,§66-rule,closed,defective,§67-A1-default,aniṭ,A₁,A1
597,yaj,,offer,A₁,§66-rule,closed,full,§67-A1-list,aniṭ,A₁,A1
698,vakṣ,,increase,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
699,vac,,speak,A₁,§66-rule,closed,full,§67-A1-list,aniṭ,A₁,A1
700,vaj,,be strong,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
704,vad,,speak,A₁,§66-rule,closed,full,§67-A1-list,seṭ,A₁,A1
708,vap,1,strew,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
709,vap,2,shear,A₁,§66-rule,closed,defective,§67-A1-default,aniṭ,A₁,A1
714,vaś,,be eager,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
715,vas,1,shine,A₁,§66-rule,closed,full,§67-A1-list,veṭ,A₁,A1
716,vas,2,clothe,A₁,§66-rule,closed,defective,§67-A1-named-exclusion,veṭ,A₁,A1
718,vah,,carry,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
72,ṛj,2,shine,R₁,§66-rule,closed,full,§67-RMN-default(majority),,R₁,A1
81,kath,,talk,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
80,katth,,boast,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
87,kaṣ,,scratch,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
88,kas,,open,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
116,krakṣ,,crash,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
117,krath,,be jubilant,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
133,kvath,,boil,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
134,kṣad,,divide,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
136,kṣap,,be abstinent,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
154,khac,,,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
156,khad,,be hard,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
159,khall,,be relaxed,L,§66-rule-closed,closed,defective,§67-L-default,seṭ,A₁,A1
167,gad,,say,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
168,gadh,,attach,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
196,grabh,,seize,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
197,gras,,devour,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
199,glah,,gamble,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
201,ghaṭ,,strive,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
202,ghaṭṭ,,rub,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
204,ghas,,eat,A₁,§66-rule,closed,defective,§67-A1-default,aniṭ,A₁,A1
211,cak,,quake,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
213,cakṣ,,see,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
215,caṭ,,go,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
216,cat,,hide,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
239,chad,,cover,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
246,jakṣ,1,eat,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
250,jap,,whisper,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
255,jas,,be exhausted,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
288,tak,,rush,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
289,takṣ,,fashion,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
292,taḍ,,beat,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
349,dā,1,give,A₂,§66-rule,open,full,§67-A2-list,aniṭ,A₂,A1
296,tap,,heat,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
705,vadh,,slay,A₁,§66-rule,closed,defective,§67-A1-named-exclusion,seṭ,A₁,A1
324,tyaj,,forsake,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
738,vīj,,fan,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed),,I₂,A1
325,trap,,be abashed,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
839,sādh,,succeed,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed),veṭ,A₂,A1
326,tras,,be terrified,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
901,svad,,sweeten,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
329,tvakṣ,,fashion,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
446,paś,1,see,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
337,dakṣ,,be able,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
338,dagh,,reach to,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
347,das,,waste,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
348,dah,,burn,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
406,dhraj,,sweep,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
411,nakṣ,,attain,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
412,naṭ,,"dance, play",A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
413,nad,,sound,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
415,nabh,,burst,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
418,naś,1,be lost,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
420,nas,,unite,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
421,nah,,tie,A₁,§66-rule,closed,defective,§67-A1-default,aniṭ,A₁,A1
435,pac,,cook,A₁,§66-rule,closed,defective,§67-A1-default,aniṭ,A₁,A1
436,paj,,start,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
437,paṭ,,tear,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
438,paṭh,,read,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
440,pat,1,"fly, fall",A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
442,path,,go,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
443,pad,,go,A₁,§66-rule,closed,defective,§67-A1-default,aniṭ,A₁,A1
477,prach,,ask,A₁,§66-rule,closed,full,§67-A1-list,veṭ,A₁,A1
478,prath,,spread,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
488,phakk,,swell,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
504,bhakṣ,,"partake of, eat",A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
505,bhaj,,"divide, share",A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
513,bhal,,perceive,L?,index-unknown,open,defective,§67-L-default,seṭ,A₁,A1
514,bhaṣ,,bark,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
515,bhas,,devour,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
531,bhṛjj,,roast,R₁,§66-rule,closed,defective,§67-rule-2 (heavy closed),,R₁,A1
532,bhyas,,fear,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
539,majj,,sink,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
545,mad,,"be exhilarated, exhilarate",A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
586,myakṣ,,be situated,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
573,mṛkṣ,,stroke,R₁,§66-rule,closed,defective,§67-rule-2 (heavy closed),,R₁,A1
579,mṛd,,"rub, crush",R₁,§66-rule,closed,full,§67-RMN-default(majority),seṭ,R₁,A1
595,yakṣ,,press on,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
598,yat,,stretch,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
599,yabh,,fuck,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
601,yas,,be heated,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
613,rakṣ,,protect,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
615,rac,,procuce,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
619,raṭ,,howl,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
621,rad,,dig,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
625,rap,,chatter,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
626,rapś,,be full,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
633,ras,,roar,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
634,rah,,desert,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
667,lakṣ,,mark,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
668,lag,,attach,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
670,lajj,,be ashamed,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
671,laḍ,,move about,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
672,lap,,prate,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
673,labh,,take,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
677,laṣ,,desire,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
678,las,,be lively,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
703,vat,,apprehend,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
751,vyac,,extend,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
754,vyadh,,pierce,A₁,§66-rule,closed,full,§67-A1-list,aniṭ,A₁,A1
760,vraśc,,cut up,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
753,vyath,,waver,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
757,vraj,,proceed,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
767,śak,,be able,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
769,śat,,cut in pieces,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
770,śad,1,prevail,A₁,§66-rule,closed,defective,§67-A1-default,,A₁,A1
771,śad,2,fall,A₁,§66-rule,closed,defective,§67-A1-default,aniṭ,A₁,A1
772,śap,,curse,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
777,śaś,,leap,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
778,śas,,cut,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
822,śvas,,blow,A₁,§66-rule,closed,defective,§67-A1-default,veṭ,A₁,A1
806,śrath,,slacken,A₁,§66-rule,closed,defective,§67-A1-default,seṭ,A₁,A1
