pos	n	mean_delta	median_rank_all	median_core_rank
10.Ā.	197	244.5	3016	2815
5.Ā.	21	225.0	2502	2329
10.P.	98	224.5	5758	5125
Denom.Ā.	22	195.3	5333	4861
Denom.P.	27	178.9	5931	5245
fn	33	136.0	5157	4726
mfn	36	134.3	3847	4208
f	1050	128.6	5018	4708
3.Ā.	35	128.2	3294	3124
2.P.	63	109.7	2491	2366
mf	99	78.2	4256	4120
1.Ā.	247	77.7	2772	2673
4.P.	77	49.0	2349	2499
m	1888	34.3	3745	3850
1.P.	156	30.3	3480	3474
6.P.	74	8.4	3242	3218
4.Ā.	62	-0.3	2455	2330
8.Ā.	22	-5.5	3181	3532
mn	555	-26.1	3354	3536
6.Ā.	71	-48.9	2860	3044
9.Ā.	25	-57.1	2716	2792
n	914	-79.3	4006	4259
adj	1202	-159.6	4094	4318
2.Ā.	36	-168.8	2755	2727
