L_id	k1	hom	k2
1	a	1	a
2	a	2	a
3	a	3	a
4	a	4	a
5	a	5	a
6	afRin		afRin

7	aMSa	1	a/MSa
8	aMSa	2	aMSa
9	aMSaka	1	aMSaka
10	aMSaka	2	aMSaka
11	aMSaka	3	aMSaka
12	aMSakaraRa		aMSakaraRa

13	aMSay		aMSay

14	aMSala		aMSala

15	aMSasavarRa		aMSasavarRa

16	aMSahara		aMSahara/

17	aMSApay		aMSApay

18	aMSAvataraRa		aMSAvataraRa

19	aMSin		aMSin

20	aMSu		aMSu/

21	aMSuka		aMSuka/

22	aMSuDara		aMSuDara

23	aMSupawwa		aMSupawwa

24	aMSupati		aMSupati

25	aMSumatI		aMSuma/tI

26	aMSumatPalA		aMSumatPalA

27	aMSumant	1	aMSuma/nt
28	aMSumant	2	aMSumant
29	aMSumAlA		aMSumAlA

30	aMSumAlin		aMSumAlin

31	aMSula		aMSula

32	aMSuhasta		aMSuhasta

33	aMsa	1	aMsa
34	aMsa	2	a/Msa
35	aMsakUwa		aMsakUwa

36	aMsatra		a/Msatra

37	aMsatrakoSa		a/MsatrakoSa

38	aMsaDrI		aMsaDrI/

39	aMsaBAra		aMsaBAra

40	aMsaBArika		a/MsaBArika

41	aMsay		aMsay

42	aMsala		aMsala/

43	aMsApay		aMsApay

44	aMseBAra		aMseBAra

45	aMseBArika		a/MseBArika

46	aMsya		a/Msya

47	aMh	1	aMh
48	aMh	2	aMh
49	aMhati	1	aMhati/
50	aMhati	2	a/Mhati
51	aMhatI		aMhatI/

52	aMhas		a/Mhas

53	aMhasaspati		aMhasaspati/

54	aMhiti		aMhiti

55	aMhu		aMhu/

56	aMhuBeda		aMhuBe/da

57	aMhura		aMhura/

58	aMhUraRa		aMhUraRa/

59	aMhomuc		aMhomu/c

60	aMhoyu		aMhoyu/

61	aMhri		a/Mhri

62	aMhripa		aMhripa

63	aMhriskanDa		aMhriskanDa

64	ak		ak

65	aka		aka

66	akaca		akaca

67	akanizWa		a/kanizWa

68	akanizWaga		akanizWaga

69	akanyA		akanyA

70	akapIvant		akapIvant

71	akampita		akampita

72	akaraRi		akaraRi

73	akarA		akarA

74	akaruRa		akaruRa

75	akarkaSa		akarkaSa

76	akarRa		akarRa

77	akarRya		akarRya/

78	akartana		akartana

79	akarmaka		akarmaka

80	akarman	1	a/karman
81	akarman	2	akarma/n
82	akala		akala

83	akalka		akalka

84	akalkatA		akalka/tA

85	akalkana		akalkana

86	akalkala		akalkala

87	akalkA		akalkA

88	akalpa		akalpa/

89	akalmAza		akalmAza

90	akava		a/kava

91	akavaca		akavaca/

92	akavAri		a/kavAri

93	akavi		a/kavi

94	akasmAt		akasmAt

95	akARqa		akARqa

96	akARqe		akARqe

97	akAma		akAma/

98	akAmakarSana		a/kAmakarSana

99	akAmatas		akAmatas

100	akAmatA		akAma/tA

101	akAmahata		akAmahata

102	akAya		akAya/

103	akAra		akAra

104	akAraRa		akAraRa

105	akArin		akArin

106	akArRavezwakika		akArRavezwakika/

107	akArya		akArya

108	akAryakArin	1	akAryakArin
109	akAryakArin	2	akAryakArin
110	akAla		akAla

111	akAlajaladodaya		akAlajaladodaya

112	akAlameGodaya		akAlameGodaya

113	akAlavelA		akAlavelA

114	akiMcana		akiMcana

115	akiMcanatA		akiMcana/tA

116	akiMcaniman		akiMcanima/n

117	akitava		a/kitava

118	akutas		akutas

119	akutoBaya		akutoBaya

120	akutrA		aku/trA

121	akuDryaYc		akuDrya/Yc

122	akupya		akupya

123	akumAra		a/kumAra

124	akula		akula

125	akulatA		akula/tA

126	akuSala		akuSala

127	akUpAra		a/kUpAra

128	akUrca		akUrca

129	akUvAra		akUvAra

130	akfta	1	a/kfta
131	akfta	2	akfta/
132	akftakAram		akftakAram

133	akftavraRa		akftavraRa

134	akfttaruc		akfttaruc

135	akftya		akftya

136	akftsna		akftsna

137	akfSASva		akfSASva

138	akfzIvala		a/kfzIvala

139	akfzwapacya		akfzwapacya/

140	akfzRakarman		akfzRakarman

141	aketu		aketu/

142	akeSa		akeSa

143	akowa		akowa

144	akOSala		akOSala

145	akkA		akkA

