headword_slp1	headword_iast	L_id	n_sutras	sutras
A	ā	7766	5	P.1.1.14|P.2.1.13|P.2.2.18|P.6.1|P.6.1.74
ABAsa	ābhāsa	66627	1	P.2.10.7
ABIkzRya	ābhīkṣṇya	8879	1	P.3.2.81
ABIra	ābhīra	66639	2	P.12.1.27|P.12.1.36
ABayajAta	ābhayajāta	8847	1	P.4.2.111
ABayajAtya	ābhayajātya	8848	1	P.4.1.105
ABicAra	ābhicāra	66631	1	P.10.66.35
ABijAtya	ābhijātya	66632	1	P.10.10.8
ABijita	ābhijita	8866	2	P.4.3.36|P.5.3.118
ABijitya	ābhijitya	8867	1	P.5.3.118
ABimuKya	ābhimukhya	8871	2	P.2.1.14|P.8.2.99
ABirUpaka	ābhirūpaka	8872	1	P.5.1.133
ABirUpya	ābhirūpya	8873	1	P.8.1.8
ABizikta	ābhiṣikta	8874	1	P.4.2.75
ABrika	ābhrika	8898	1	P.4.4.2
ABrya	ābhrya	8899	1	P.4.1.151
AByantara	ābhyantara	8894	1	P.1.1.9
AByudayika	ābhyudayika	8897	1	P.5.4.42
ADAna	ādhāna	8500	1	P.1.3.32
ADAra	ādhāra	8503	3	P.1.1.32|P.1.4.45|P.3.3.121
ADamarRya	ādhamarṇya	8493	1	P.3.3.170
ADarmika	ādharmika	8495	1	P.4.4.41
ADenava	ādhenava	8528	1	P.4.2.47
ADi	ādhi	118759	1	P.11.13.33
ADikya	ādhikya	8512	2	P.2.1.6|P.2.3.9
ADipatya	ādhipatya	8515	1	P.5.1.124
ADvarAyaRa	ādhvarāyaṇa	8543	1	P.4.1.99
ADvarika	ādhvarika	8544	1	P.4.3.72
ADvaryava	ādhvaryava	8545	2	P.4.3.123|P.5.1.129
ADyAna	ādhyāna	8538	1	P.1.3.46
ADyAtmika	ādhyātmika	8537	1	P.4.3.60
ADyaSvi	ādhyaśvi	8535	1	P.4.2.138
AGAra	āghāra	66179	1	P.11.27.40
AGAta	āghāta	66177	1	P.11.20.20
AGAwa	āghāṭa	8009	1	P.3.2.49
AGUrRa	āghūrṇa	66180	1	P.10.68.42
AKA	ākhā	7904	1	P.3.2.101
AKAna	ākhāna	7906	1	P.3.3.125
AKUtTa	ākhūttha	7918	1	P.3.2.4
AKa	ākha	7893	1	P.3.3.125
AKaRqi	ākhaṇḍi	7898	1	P.6.2.86
AKaka	ākhaka	7894	1	P.4.1.41
AKana	ākhana	7899	1	P.3.3.125
AKanika	ākhanika	7900	1	P.3.3.125
AKanikabaka	ākhanikabaka	7901	2	P.2.1.48|P.3.3.125
AKara	ākhara	7902	1	P.3.3.125
AKarezWa	ākhareṣṭha	7903	1	P.6.3.20
AKyA	ākhyā	66127	3	P.3.3.20|P.4.1.48|P.10.50.15
AKyAna	ākhyāna	7930	3	P.3.3.111|P.4.2.60|P.6.2.103
AKyAta	ākhyāta	7925	1	P.2.1.72
AKyAtar	ākhyātar	7926	1	P.1.4.29
AKyAtika	ākhyātika	7929	1	P.4.3.72
AKyAyikA	ākhyāyikā	7933	1	P.4.2.60
AMSya	āṃśya	7768	1	P.4.2.80
ANgAra	āṅgāra	8029	1	P.4.2.38
ANga	āṅga	8025	2	P.1.1.63|P.2.4.59
ANgaka	āṅgaka	8026	1	P.4.2.125
ANgavidya	āṅgavidya	8028	1	P.4.3.73
ANgirasa	āṅgirasa	8032	2	P.4.1|P.4.1.107
ANgulika	āṅgulika	8033	1	P.5.3.108
ANgya	āṅgya	8037	1	P.4.2.80
ANkuSAyana	āṅkuśāyana	8021	1	P.4.2.80
AQaka	āḍhaka	8194	3	P.2.4.31|P.4.1.22|P.4.1.41
AQakajambu	āḍhakajambu	8195	1	P.4.2.120
AQakika	āḍhakika	8196	2	P.5.1|P.5.1.53
AQyaMBavizRu	āḍhyaṃbhaviṣṇu	8203	2	P.3.2.57|P.6.2.160
AQyaMkaraRa	āḍhyaṃkaraṇa	8201	1	P.3.2.56
AQyaka	āḍhyaka	8199	1	P.5.1.133
AQyakulIna	āḍhyakulīna	8200	1	P.4.1.139
AQyapadi	āḍhyapadi	8202	1	P.5.4.128
AQyatA	āḍhyatā	66267	1	P.10.59.41
ARIveya	āṇīveya	8209	1	P.4.1.123
ARavIna	āṇavīna	8207	1	P.5.2.4
ARava	āṇava	8206	1	P.5.1.122
ARqAyana	āṇḍāyana	8214	1	P.4.2.80
ARqIra	āṇḍīra	8217	1	P.5.2.111
ARqIvata	āṇḍīvata	8218	1	P.4.2.80
ARqa	āṇḍa	8210	1	P.3.1.85
ARqakoSa	āṇḍakośa	66269	1	P.2.1.25
ARqavant	āṇḍavant	8212	1	P.5.2.111
ASApAla	āśāpāla	66983	1	P.12.6.71
ASIrvant	āśīrvant	9592	1	P.8.2.15
ASIviza	āśīviṣa	66995	1	P.10.26.12
ASOca	āśauca	9618	1	P.7.3.30
ASaMsana	āśaṃsana	9536	1	P.8.2.104
ASaMsu	āśaṃsu	9540	1	P.3.2.168
ASaNkA	āśaṅkā	9542	2	P.3.4.8|P.6.2.21
ASana	āśana	9544	2	P.5.3.117|P.5.4.38
ASava	āśava	9550	1	P.5.1.122
AScary	āścary	9619	1	P.3.1.27
AScarya	āścarya	9620	4	P.2.2.14|P.3.3|P.3.3.150|P.6.1.147
ASiman	āśiman	9578	1	P.5.1.123
ASir	āśir	9579	1	P.6.1.36
ASis	āśis	9585	3	P.6.4.34|P.8.2.83|P.8.2.104
ASitaMBava	āśitaṃbhava	9574	1	P.3.2.45
ASitaMgavIna	āśitaṃgavīna	9573	1	P.5.4.7
ASizika	āśiṣika	9583	1	P.7.3.51
ASleza	āśleṣa	67020	1	P.10.13.34
ASmAyana	āśmāyana	9633	1	P.4.1.110
ASma	āśma	9625	1	P.6.6.144
ASmaBArika	āśmabhārika	9629	1	P.5.1.50
ASmaki	āśmaki	9626	1	P.4.1.173
ASmana	āśmana	9627	1	P.4.3.143
ASmanya	āśmanya	9628	1	P.4.2.80
ASmaraTa	āśmaratha	67008	1	P.4.2.111
ASmaraTya	āśmarathya	9631	2	P.4.1.73|P.4.1.105
ASmeya	āśmeya	9635	1	P.4.1.123
ASmika	āśmika	9634	2	P.5.1.39|P.5.1.50
ASokeya	āśokeya	9617	3	P.4.1|P.4.1.123|P.4.2.80
ASra	āśra	9636	1	P.5.2.131
ASrama	āśrama	9638	1	P.2.4.31
ASramamaRqala	āśramamaṇḍala	67010	1	P.3.4.21
ASraya	āśraya	9648	4	P.1.1|P.1.1.9|P.1.1.56|P.3.3.85
ASrayaRa	āśrayaṇa	9649	1	P.6.1.123
ASu	āśu	9595	1	P.3.3.133
ASutoza	āśutoṣa	66999	1	P.10.76
ASvAvatAna	āśvāvatāna	9693	1	P.4.1.104
ASvAyana	āśvāyana	9692	1	P.4.1.110
ASvIna	āśvīna	9702	1	P.5.2.19
ASva	āśva	9670	3	P.4.2.48|P.4.2.92|P.5.1.129
ASvaBArika	āśvabhārika	9683	1	P.5.1.50
ASvalAyana	āśvalāyana	9689	1	P.4.1.99
ASvalakzaRika	āśvalakṣaṇika	9688	1	P.4.2.60
ASvapAlika	āśvapālika	9679	1	P.4.1.146
ASvapata	āśvapata	9677	1	P.4.1.84
ASvapejin	āśvapejin	9680	1	P.4.3.106
ASvaraTa	āśvaratha	9687	1	P.4.3.122
ASvatTIya	āśvatthīya	9676	1	P.4.2.138
ASvatTa	āśvattha	9673	3	P.4.1.41|P.4.2.5|P.4.3.164
ASvatTi	āśvatthi	9674	1	P.4.2.138
ASvatTika	āśvatthika	9675	2	P.4.2|P.4.2.80
ASvayuja	āśvayuja	9685	2	P.4.3.36|P.4.3.45
ASvayujaka	āśvayujaka	9686	1	P.4.3.45
ASveya	āśveya	9703	1	P.4.1.123
ASvika	āśvika	9698	2	P.5.1.39|P.5.1.50
ASvina	āśvina	9699	1	P.4.4.126
ATarvaRa	ātharvaṇa	66343	3	P.4.2.38|P.4.3.133|P.12.7.4
ATarvaRika	ātharvaṇika	8372	1	P.6.4.174
AYjalikya	āñjalikya	8169	1	P.5.1.128
