gender,lemma_id,lemma,tokens,cells_attested
Masc,86559,deva,17536,22
Masc,66869,loka,11249,22
Masc,63463,indra,10287,22
Masc,53136,artha,10229,21
Masc,144475,putra,9729,23
Masc,72936,yajña,6762,18
Masc,91970,dharma,6394,21
Masc,69571,rasa,6322,19
Masc,22761,kāla,5916,21
Masc,66339,ratha,5372,22
Masc,13752,kāma,5063,21
Masc,149743,brāhmaṇa,5060,20
Masc,144647,puruṣa,4605,21
Masc,100106,soma,4363,19
Masc,156090,prāṇa,4344,20
Masc,11658,anta,3641,19
Masc,65008,yoga,3387,20
Masc,166143,vīra,3385,21
Masc,93423,pāṇḍava,3371,20
Masc,106624,suta,3310,21
Masc,44242,nara,3195,20
Masc,70783,rāma,3153,12
Masc,124503,guṇa,3041,19
Masc,70209,rāja,2988,16
Masc,87452,jana,2956,19
Masc,90071,doṣa,2720,20
Masc,28931,nṛpa,2660,18
Masc,64859,yudhiṣṭhira,2582,12
Masc,71571,rudra,2577,21
Masc,166894,vipra,2573,20
Masc,99310,sūrya,2531,20
Masc,116797,śara,2515,18
Masc,58039,āditya,2460,20
Masc,39019,ṛṣabha,2437,20
Masc,116648,śabda,2411,17
Masc,49485,bhāga,2409,16
Masc,60200,aśva,2404,21
Masc,129336,gaṇa,2384,19
Masc,2744,karṇa,2338,20
Masc,64099,īśvara,2322,20
Masc,49850,bhāva,2276,18
Masc,91276,dvija,2274,19
Masc,94226,pārtha,2254,20
Masc,4073,kṛṣṇa,2231,17
Masc,93551,pāda,2221,22
Masc,154315,bala,2207,19
Masc,170994,bhārata,2162,13
Masc,66051,raṇa,2140,9
Masc,50421,bhīṣma,2067,15
Masc,87204,deśa,2063,18
Masc,133175,māsa,2062,20
Masc,166517,hasta,2010,20
Masc,69074,varuṇa,1980,19
Masc,36369,mantra,1972,19
Masc,8188,saṃśaya,1959,12
Masc,121714,svarga,1937,13
Masc,42265,saṃvatsara,1886,14
Masc,129602,garbha,1879,19
Masc,61054,asura,1878,21
Masc,53077,arjuna,1739,17
Masc,74430,varṇa,1680,22
Masc,36182,manuṣya,1639,16
Masc,69938,rākṣasa,1616,20
Masc,97019,tāta,1612,9
Masc,135351,kṣaṇa,1568,10
Masc,127205,śūra,1533,17
Masc,98854,sūta,1497,15
Masc,142998,veda,1495,19
Masc,17,aṃśa,1494,18
Masc,90696,droṇa,1490,14
Masc,135459,kṣaya,1482,15
Masc,139220,viśeṣa,1433,17
Masc,116329,śakra,1428,13
Masc,20217,parvata,1418,18
Masc,25880,bheda,1404,15
Masc,130008,gandha,1400,19
Masc,125579,graha,1389,20
Masc,69150,vara,1388,17
Masc,167152,vadha,1388,15
Masc,95017,pitāmaha,1386,15
Masc,100722,daṇḍa,1374,18
Masc,50303,bhīma,1341,15
Masc,30275,samudra,1332,19
Masc,203023,aha,1323,14
Masc,147846,bāṇa,1313,17
Masc,118517,vaiśampāyana,1308,5
Masc,89764,deha,1294,16
Masc,99099,sūta,1269,16
Masc,73816,yama,1257,22
Masc,79830,roga,1251,18
Masc,132712,śiva,1249,17
Masc,149046,bodhisattva,1246,14
Masc,135379,kṣatriya,1240,20
Masc,142252,vega,1239,17
Masc,67908,vajra,1227,17
Masc,155687,prasāda,1217,16
Masc,135840,mitra,1215,19
Masc,94243,pārthiva,1205,18
Masc,75122,vaśa,1203,12
Masc,14543,pakṣa,1179,21
Neut,163754,tva,9972,17
Neut,71929,rūpa,5151,21
Neut,154076,phala,3973,17
Neut,154315,bala,3354,16
Neut,20377,anna,3226,15
Neut,35810,madhya,3123,15
Neut,136827,mukha,2885,17
Neut,68470,vana,2864,15
Neut,67855,vacana,2817,13
Neut,25207,bhūta,2732,15
Neut,76075,vākya,2517,15
Neut,15753,pada,2392,18
Neut,142144,vīrya,2250,17
Neut,5937,agra,2243,18
Neut,16633,satya,2213,17
Neut,48908,bhaya,2180,15
Neut,64795,yuddha,2123,13
Neut,92862,pātra,2036,20
Neut,102857,sthāna,1998,17
Neut,125251,gṛha,1971,14
Neut,14116,kāraṇa,1963,18
Neut,137542,mūla,1961,19
Neut,161166,ghṛta,1938,17
Neut,82616,tīrtha,1860,16
Neut,116860,śarīra,1845,21
Neut,78185,mātra,1836,16
Neut,85108,duḥkha,1829,19
Neut,70493,rājya,1825,14
Neut,14320,kārya,1761,17
Neut,146095,dāna,1744,19
Neut,88026,jala,1727,15
Neut,116251,vrata,1707,16
Neut,89644,jñāna,1706,17
Neut,52112,cūrṇa,1664,14
Neut,63664,indriya,1610,15
Neut,16581,sattva,1602,17
Neut,146419,darśana,1596,17
Neut,148966,bīja,1574,16
Neut,6145,aṅga,1571,16
Neut,80283,lakṣaṇa,1552,14
Neut,91589,dhana,1546,15
Neut,106817,sukha,1531,18
Neut,93767,pāpa,1515,18
Neut,24793,kula,1512,15
Neut,110583,hṛdaya,1499,15
Neut,90455,dravya,1485,16
Neut,11866,antara,1483,14
Neut,147072,dina,1452,15
Neut,11898,antarikṣa,1435,12
Neut,61244,astra,1389,18
Neut,57582,ājya,1377,16
Neut,83500,taila,1376,17
Neut,135495,kṣīra,1330,12
Neut,53322,ardha,1327,15
Neut,95944,tattva,1313,15
Neut,90781,dvaya,1311,13
Neut,83782,traya,1257,12
Neut,166808,pura,1213,14
Neut,31887,amṛta,1209,15
Neut,56229,udaka,1189,18
Neut,30562,samara,1177,5
Neut,78223,māṃsa,1176,18
Neut,139407,viṣa,1146,16
Neut,15540,pattra,1129,13
Neut,81534,liṅga,1106,15
Neut,99905,sainya,1106,14
Neut,66168,ratna,1096,15
Neut,150091,pṛṣṭha,1051,16
Neut,51356,citta,1023,16
Neut,5484,akṣara,1015,16
Neut,141016,pramāṇa,1014,16
Neut,136408,mūtra,957,16
