suffix_class	lemma	verdict(blank→adjudicate: taddhita|krt|primary|compound|name)
ya	pravāhya	
ika	yāntrika	
ika	ārthika	
ya	prāpya	
in	granthin	
ya	nakṣya	
ya	amāya	
in	ślokin	
ika	śaunika	
ika	kaṃsika	
ya	niryātya	
in	vibhraṃśin	
ya	gavyaya	
ya	sambhāṣya	
ya	pāthya	
in	ākrīḍin	
in	pramathin	
ya	apavāhya	
in	viṣin	
ika	aupaniṣadika	
in	supathin	
ya	yatya	
in	pragrahin	
ya	parimārgya	
ya	nirmanthya	
ya	aṅgurīya	
ya	vidhāraya	
ya	atapasya	
ya	śābalīya	
ya	gāya	
ya	praticakṣya	
ya	enasya	
ya	kūpya	
in	utpatin	
ika	rābhasika	
ya	śrapaṇīya	
ya	nirbādhya	
ya	damya	
in	aśanin	
in	apadhvaṃsin	
ya	vilaṅghya	
ya	dhaya	
ika	ādhyāsika	
ya	hiṃsya	
ya	nālya	
in	ṣṭhīvin	
ika	vaiṃśatika	
ya	abhibhāṣya	
ya	giriśaya	
ya	brahmavarcasya	
ya	aṃsya	
ya	udvāsya	
in	ābhāsin	
in	vāñchin	
in	bhājin	
ya	pratyakṣadṛśya	
ya	viṣamaya	
ya	adhiśrayaṇīya	
ya	saṃrakṣya	
in	viṣyandin	
