compound_id	compound_lemma	compound_surface	member_count	head_lemma	head_upos	head_case	head_gender	head_number	member_deprels	chapter_ref	text	sentence
cpd:001	tyaj-kaṣāya	tyakta kaṣāyasya	2	kaṣāya	NOUN	Gen	Masc	Sing	-	Aṣṭāvakragīta, 3	Aṣṭāvakragīta	antastyaktakaṣāyasya nirdvandvasya nirāśiṣaḥ
cpd:002	bhī-śoka	bhī śokābhyām	2	śoka	NOUN	Ins	Masc	Dual	-	AHS, Cikitsitasthāna, 1	Aṣṭāṅgahṛdayasaṃhitā	bhayaśokodbhavau tābhyāṃ bhīśokābhyāṃ tathetarau
cpd:003	mudga-māṣaparṇī	mudga māṣaparṇyau	2	māṣaparṇī	NOUN	Acc	Fem	Dual	-	AHS, Cikitsitasthāna, 3	Aṣṭāṅgahṛdayasaṃhitā	śarkarāṃ jīvakaṃ mudgamāṣaparṇyau durālabhām
cpd:004	smṛti-mati-bala-medhā-sattva-sāra	smṛti mati bala medhā sattva sāraiḥ	6	sāra	NOUN	Ins	Masc	Plur	-|-|-|-|-	AHS, Utt., 39	Aṣṭāṅgahṛdayasaṃhitā	smṛtimatibalamedhāsattvasārair upetaḥ kanakanicayagauraḥ so 'śnute dīrgham āyuḥ
cpd:005	yajña-kratu	yajña kratoḥ	2	kratu	NOUN	Abl	Masc	Sing	-	BaudhŚS, 18, 13	Baudhāyanaśrautasūtra	taṃ hendro 'nukhyāyaivekṣāṃcakre 'ham u tvā tad yātaye yan mā yajñakrator antarāya iti
cpd:006	kuntī-suta	kuntī sutaiḥ	2	suta	NOUN	Ins	Masc	Plur	-	BhāMañj, 1	Bhāratamañjarī	muktairjatugṛhāddaivājjitaṃ kuntīsutairiti
cpd:007	mahat-astra-darśin	mahā astra darśī	3	darśin	ADJ	Nom	Masc	Sing	-|-	BhāMañj, 5	Bhāratamañjarī	mahāstradarśī satataṃ hantu māsena tadbalam
cpd:008	bhūri-bhūriśravas-citra-duḥśāsana-suyodhana	bhūri bhūriśravas citra duḥśāsana suyodhanāḥ	5	suyodhana	NOUN	Nom	Masc	Plur	-|-|-|-	BhāMañj, 7	Bhāratamañjarī	bhūribhūriśravaścitraduḥśāsanasuyodhanāḥ
cpd:009	kiṣku-pramāṇa	kiṣku pramāṇaiḥ	2	pramāṇa	NOUN	Ins	Masc	Plur	-	BhāMañj, 7	Bhāratamañjarī	kiṣkupramāṇairvaitastairvaṃśotthaistamapūrayat
cpd:010	tulā-dhara	tulā dharaḥ	2	dhara	ADJ	Nom	Masc	Sing	-	BhāMañj, 13	Bhāratamañjarī	iti mānamahāmohaṃ jājaleḥ sa tulādharaḥ
cpd:011	gomukha-sambandha	gomukha sambandhām	2	sambandha	NOUN	Acc	Fem	Sing	-	BKŚS, 25	Bṛhatkathāślokasaṃgraha	tena gomukhasaṃbandhām ākarṇya ruditaṃ mayā
cpd:012	lakṣya-nimitta	lakṣya nimittā	2	nimitta	NOUN	Nom	Fem	Sing	-	Ca, Indr., 1	Carakasaṃhitā	vikṛtiḥ punarlakṣaṇanimittā ca lakṣyanimittā ca nimittānurūpā ca
cpd:013	doṣa-pravṛtti	doṣa pravṛttiḥ	2	pravṛtti	NOUN	Nom	Masc	Sing	-	Ca, Cik., 3	Carakasaṃhitā	doṣapravṛttiraṣṭāho nirāmajvaralakṣaṇam
cpd:014	ṣaṣṭika-anna	ṣaṣṭika annena	2	anna	NOUN	Ins	Neut	Sing	-	Ca, Cik., 2, 2	Carakasaṃhitā	ṣaṣṭikānnena saṃyuktamupayojyaṃ yathābalam
cpd:015	buddha-dharma	buddha dharmāḥ	2	dharma	NOUN	Nom	Masc	Plur	-	Divyāv, 2	Divyāvadāna	na mayā bhadanta vijñātamevaṃ gambhīramevaṃ gambhīrā buddhadharmā iti
cpd:016	vara-aṅga-rūpin	vara aṅga rūpiṇām	3	rūpin	ADJ	Gen	Masc	Plur	-|-	Divyāv, 17	Divyāvadāna	pūrṇaṃ ca me sahasraṃ putrāṇāṃ śūrāṇāṃ vīrāṇāṃ varāṅgarūpiṇāṃ parasainyapramardakānām
cpd:017	brahman-loka	brahma lokam	2	loka	NOUN	Acc	Masc	Sing	-	GarPur, 1, 36	Garuḍapurāṇa	sarvapāpavinirmukto brahmalokamavāpnuyāt
cpd:018	maṇḍala-tritaya	maṇḍala tritayāya	2	tritaya	NOUN	Dat	Neut	Sing	-	GarPur, 1, 40	Garuḍapurāṇa	oṃ hāṃ maṇḍalatritayāya namaḥ
cpd:019	madhura-vaktra-tā	madhura vaktra tā	3	tā	NOUN	Nom	Fem	Sing	-|-	GarPur, 1, 154	Garuḍapurāṇa	śūkairivācitaḥ kaṇṭho nidrā madhuravaktratā
cpd:020	nīlotpala-dala-śyāma	nīlotpala dala śyāmam	3	śyāma	ADJ	Acc	Masc	Sing	-|-	HBhVil, 5	Haribhaktivilāsa	nīlotpaladalaśyāmaṃ hṛdi madhye pratiṣṭhitam
cpd:021	kṛta-yuga	kṛta yugam	2	yuga	NOUN	Acc	Neut	Sing	-	HV, 41	Harivaṃśa	bhūyaḥ kṛtayugaṃ kartum utsahante narādhipāḥ
