lemma_id,lemma,tokens,tier,dcs_grammar,whitney_gana
156122,as,28637,MULTI,2. P.,I|II|IV
157250,bhū,22826,SINGLE,1. Ā.,I
156168,kṛ,13436,MULTI,2. Ā.,I|II|V|VI|VIII
157372,dā,4734,MULTI,1. Ā.,I|II|III|IV|VI
156214,gam,4279,MULTI,6. Ā.,I|II
157629,hu,4010,MULTI,3. Ā.,II|III
157409,śru,3403,MULTI,4. P.,II|V
157264,vac,3243,MULTI,2. P.,II|III
157262,brū,3220,MULTI,6. P.,II|VI
156584,jan,3203,MULTI,4. P.,I|II|III|IV
157263,yā,2980,SINGLE,2. Ā.,II
156131,iṣ,2954,MULTI,1. P.,I|IV|VI|IX
157327,dhā,2930,MULTI,1. P.,I|II|III|IV
158058,vid,2895,MULTI,1. Ā.,I|II|VI
157390,paś,2833,SINGLE,4. Ā.,IV
157282,han,2721,MULTI,8. P.,I|II|VI|VIII
156127,i,2648,MULTI,9. P.,I|IV|V|IX
156232,grah,2607,UNJOINED,4. P.,
157340,sthā,2578,SINGLE,1. Ā.,I
157422,yaj,2563,MULTI,2. P.,I|II
157766,dṛś,2362,SINGLE,4. Ā.,IV
156118,arh,2294,SINGLE,1. Ā.,I
157266,vad,2188,SINGLE,1. Ā.,I
156249,car,2187,SINGLE,1. Ā.,I
157391,pā,1998,MULTI,1. Ā.,I|II|III
157294,man,1953,MULTI,1. Ā.,III|IV|VIII
156154,kathay,1747,AYA,10. Ā.,X
157815,pac,1601,MULTI,1. Ā.,I|IV
156125,āp,1590,SINGLE,1. Ā.,V
157151,jñā,1513,MULTI,4. Ā.,I|IX
157281,muc,1513,SINGLE,6. Ā.,VI
158020,labh,1509,SINGLE,1. P.,I
156588,ji,1452,MULTI,9. P.,I|II|V
157846,pā,1317,MULTI,2. Ā.,I|II|III
157146,jīv,1298,SINGLE,1. Ā.,I
157558,hṛ,1292,MULTI,2. P.,I|II|III|IX
157688,kāray,1138,AYA,10. Ā.,X
157306,vid,1124,MULTI,2. Ā.,I|II|VI
157404,vah,1112,MULTI,2. Ā.,I|II
156585,jap,1102,SINGLE,4. Ā.,I
157267,vṛt,1085,MULTI,3. P.,I|II|III
157259,nī,1068,MULTI,2. P.,I|II|III
157408,śaṃs,1055,SINGLE,2. P.,I
163158,prāp,1055,UNJOINED,"1.P.,5.Ā.,4.P.,5.P.",
162975,prayam,1042,MULTI,"1.P.,1.Ā.",I|II
156126,ās,1040,MULTI,4. P.,I|II|IV
157392,pū,1039,MULTI,1. P.,I|IX
157617,dhāray,1021,AYA,10. Ā.,X
157298,yuj,1003,MULTI,1. P.,II|VI|VII
157500,vraj,990,SINGLE,1. Ā.,I
158892,marday,985,AYA,10. Ā.,X
157293,bhuj,982,MULTI,6. P.,I|VI|VII
157991,rakṣ,964,SINGLE,4. P.,I
163351,vidhā,949,MULTI,"3.Ā.,3.P.",I|II|III|IV
157419,bhṛ,948,MULTI,1. Ā.,I|II|III
157283,vas,928,MULTI,2. Ā.,I|II|VI
160734,upe,925,UNJOINED,"2.P.,2.Ā.",
156198,kṣip,914,SINGLE,6. Ā.,VI
158765,pūjay,913,AYA,10. Ā.,X
161438,nirvap,912,UNJOINED,"1.P.,1.Ā.",
