lemma_id,lemma,dom_gender,stem_final,tokens,cells_attested,cells_bits24
86559,deva,Masc,a,17565,22,111111111101101111111111
5705,agni,Masc,i,16673,23,111111111111101111111111
70467,rājan,Masc,an,15212,20,111111101101101111101111
66869,loka,Masc,a,11272,22,111111111101111111111101
57749,ātman,Masc,an,10853,19,111111101101101111111100
53136,artha,Masc,a,10837,21,111111111101111111111100
63463,indra,Masc,a,10309,22,111111111111101111101111
163754,tva,Neut,a,9994,18,111101111100101111111100
144475,putra,Masc,a,9895,23,111111111111111111101111
57973,ādi,Masc,i,9533,20,111101111101111111111100
12243,karman,Neut,an,7939,22,111111111101111111111110
71929,rūpa,Neut,a,7186,23,111111111111111111111101
94899,pitṛ,Masc,r_vocalic,6876,24,111111111111111111111111
72936,yajña,Masc,a,6767,18,111111101101101101101101
69571,rasa,Masc,a,6656,19,111111111100101111111100
91970,dharma,Masc,a,6467,21,111111111101111111111100
36096,manas,Neut,as,6223,17,111111111100100111101100
22761,kāla,Masc,a,6029,21,111111111101111111111100
154315,bala,Neut,a,5592,19,111111111100100111101111
203679,tā,Fem,aa,5522,14,111111101100100100111000
66339,ratha,Masc,a,5401,22,111111111101111111111101
167009,ap,Fem,other_consonant,5381,14,111001101001101101101001
13752,kāma,Masc,a,5292,21,111111111101101111111101
149743,brāhmaṇa,Masc,a,5060,20,111111101101101111111101
44133,namas,Neut,as,5002,11,101101101100100100100100
48483,bhagavant,Masc,other_consonant,4941,17,111111101100100101101111
76023,vāc,Fem,other_consonant,4747,17,111111101100100111101101
144647,puruṣa,Masc,a,4632,21,111111101101111111111101
92688,paśu,Masc,u,4506,18,111111101111101101101001
39042,ṛṣi,Masc,i,4444,20,111111101101111111101101
100106,soma,Masc,a,4367,19,111111101101101101111110
11658,anta,Masc,a,4366,21,111111111101111111111100
156090,prāṇa,Masc,a,4360,20,111111111100101111111101
154076,phala,Neut,a,4298,18,111111111100101111101100
136827,mukha,Neut,a,4128,20,111111111101101101111101
163749,pati,Masc,i,4109,22,111111101111101111111111
96401,tapas,Neut,as,4091,19,111111111100110111111100
149177,brahman,Masc,an,4064,19,111111101101101101111101
168377,div,Masc,other_consonant,4004,17,111111101100101101100111
150748,prajā,Fem,aa,3922,16,111101101101101101101001
87156,devī,Fem,ii,3821,22,111111111111101111101111
83387,tejas,Neut,as,3750,19,111111111100100111111101
166386,go,?,other_consonant,3728,20,111111111101101111101101
150027,pṛthivī,Fem,ii,3552,18,111111100110111100111110
84570,diś,Fem,other_consonant,3490,20,111111111101101111111001
124503,guṇa,Masc,a,3440,19,111111111101101111101100
166143,vīra,Masc,a,3436,21,111111111101101111101111
65008,yoga,Masc,a,3411,20,111111111100101111111101
93423,pāṇḍava,Masc,a,3371,20,111111111101101111101101
106624,suta,Masc,a,3331,21,111111111101100111111111
20377,anna,Neut,a,3321,16,111101101100100101111110
168349,ahar,Neut,other_consonant,3317,19,111111111111100111111000
137432,muni,Masc,i,3254,19,111111101101101111101101
35810,madhya,Neut,a,3198,16,111111101100100110111100
44242,nara,Masc,a,3197,20,111111101101101111101111
70783,rāma,Masc,a,3153,12,111111100100100100100100
139532,viṣṇu,Masc,u,3097,13,111110110100100110100100
25207,bhūta,Neut,a,3068,17,111101101101101101101101
125251,gṛha,Neut,a,3055,16,111101101101101101101001
87093,devatā,Fem,aa,3011,22,111111111111101111111101
149176,brahman,Neut,an,3004,14,111101101100101101100100
102548,strī,Fem,ii,2994,20,111111111101101111111100
87452,jana,Masc,a,2993,19,111111101101101111101101
70209,rāja,Masc,a,2992,18,111101111100101111101101
142144,vīrya,Neut,a,2992,19,111111111100100111111101
33597,nāman,Neut,an,2937,17,111111111100100111101100
68470,vana,Neut,a,2932,15,101101111100101101101100
15753,pada,Neut,a,2918,19,111111111100101111111100
151290,prajāpati,Masc,i,2877,16,111111101110100101100110
67855,vacana,Neut,a,2874,14,111101101100100101101100
76933,vāyu,Masc,u,2849,20,111111111110100111111110
90071,doṣa,Masc,a,2832,20,111111111101111111101100
148859,bāhu,Masc,u,2790,23,111111111111111111111110
5937,agra,Neut,a,2734,18,111111111101101101111000
131805,śiras,Neut,as,2682,18,111111111100101111111000
78551,mātṛ,Fem,r_vocalic,2679,24,111111111111111111111111
49485,bhāga,Masc,a,2673,16,111111101000101111111000
28931,nṛpa,Masc,a,2661,18,111111101100101111101101
64859,yudhiṣṭhira,Masc,a,2582,12,111111100100100100100100
116251,vrata,Neut,a,2580,19,111111101101100101111111
71571,rudra,Masc,a,2578,21,111111111111101101101111
166894,vipra,Masc,a,2576,20,111111101101101111101111
76075,vākya,Neut,a,2571,15,111101101000101111111000
116797,śara,Masc,a,2560,18,111111111100101111101100
99310,sūrya,Masc,a,2547,20,111111111101100111111101
78185,mātra,Neut,a,2519,17,111111101101101111101000
116648,śabda,Masc,a,2465,17,111101111001101111101100
58039,āditya,Masc,a,2463,20,111111101101101111101111
6145,aṅga,Neut,a,2455,21,111111111101101111111101
39019,ṛṣabha,Masc,a,2455,20,111111111110101101101111
60200,aśva,Masc,a,2455,21,111111101101111111111101
59234,āyus,Neut,us,2439,14,111111100100100111100100
122846,vidhi,Masc,i,2424,15,111101111100100101101100
129336,gaṇa,Masc,a,2424,19,111101111101101111101101
25418,bhūmi,Fem,i,2421,17,111111101100101111101100
137542,mūla,Neut,a,2395,20,111111111101101111111100
74430,varṇa,Masc,a,2378,22,111111111101111111111101
2744,karṇa,Masc,a,2364,20,111111111100111111111100
64099,īśvara,Masc,a,2352,20,111111111101101111100111
67891,vacas,Neut,as,2350,15,111101101100010111110010
63664,indriya,Neut,a,2346,16,111101101101101101101100
49850,bhāva,Masc,a,2332,18,111101101100111111111100
93551,pāda,Masc,a,2310,22,111111111101111111111110
124569,guru,Masc,u,2309,18,111111101101101101101101
91276,dvija,Masc,a,2290,19,111111101101101101101111
130098,gati,Fem,i,2283,16,111111101100100101111100
166332,bhū,Fem,uu,2280,15,111101100100101111101010
94226,pārtha,Masc,a,2256,20,111111111101101111101101
26394,bhrātṛ,Masc,r_vocalic,2254,21,111111111111101111101101
48908,bhaya,Neut,a,2254,15,111111101100101101101000
4073,kṛṣṇa,Masc,a,2232,17,111111110100110110110110
16633,satya,Neut,a,2226,17,111111111101100111101000
148382,buddhi,Fem,i,2223,18,111111111101100111101100
36369,mantra,Masc,a,2220,19,111111111101101111101100
170994,bhārata,Masc,a,2162,13,111101101000000101101101
166517,hasta,Masc,a,2156,20,111111111100110111111101
66051,raṇa,Masc,a,2142,9,101100100100100000101100
64795,yuddha,Neut,a,2130,15,101111101100101101101100
52557,chandas,Neut,as,2112,19,111111111101101111111000
110756,hetu,Masc,u,2105,19,111111111100101111111100
108715,hari,Masc,i,2104,19,111111111110100111110101
116860,śarīra,Neut,a,2090,22,111111111101111111111110
146419,darśana,Neut,a,2089,20,111111111100101111111101
80283,lakṣaṇa,Neut,a,2086,16,111111101000101111101100
40462,śrī,Fem,ii,2085,16,111101111100100111101001
133175,māsa,Masc,a,2081,20,111111111101111111111000
87204,deśa,Masc,a,2080,18,111111101101101111111000
92862,pātra,Neut,a,2079,20,111111111101101111111100
50421,bhīṣma,Masc,a,2068,15,111110110100110111100100
161797,cakṣus,Neut,us,2068,19,111111111110110111111000
74765,varṣa,Masc,a,2032,17,111111111100101101111000
129602,garbha,Masc,a,2031,19,111111111101101101101101
102857,sthāna,Neut,a,2026,17,111111101000111101111100
14116,kāraṇa,Neut,a,1997,20,111111111100111111111100
161166,ghṛta,Neut,a,1992,17,111111111000101111101100
69074,varuṇa,Masc,a,1982,19,111111111101100111110110
8188,saṃśaya,Masc,a,1970,12,101101100100100101101100
82616,tīrtha,Neut,a,1962,17,111101111100101111101100
121714,svarga,Masc,a,1940,13,101101101100100101101100
42265,saṃvatsara,Masc,a,1931,16,111111101101100101101001
65252,yoni,Fem,i,1930,17,111111101100101111101100
16581,sattva,Neut,a,1916,19,111111111100110111101101
70493,rājya,Neut,a,1895,15,111101101100100111101100
61054,asura,Masc,a,1894,21,111111101111101111101111
14320,kārya,Neut,a,1866,19,111111101100111111111100
85108,duḥkha,Neut,a,1861,19,111111111100111111111000
88026,jala,Neut,a,1858,16,101111111100100111101100
109386,havis,Neut,is,1858,18,111111101100101111111100
16120,payas,Neut,as,1846,16,111111111100100111101000
67908,vajra,Masc,a,1838,17,111111101100100111101110
164188,jagant,Neut,other_consonant,1826,13,101111100100100101101001
17,aṃśa,Masc,a,1816,18,111111111100101111111000
70626,rātri,Fem,i,1801,15,111101101100100101111100
146095,dāna,Neut,a,1769,19,111111111100101111111100
137611,mṛtyu,Masc,u,1762,19,111111111101101111110100
89644,jñāna,Neut,a,1759,18,111111111100101111101100
110583,hṛdaya,Neut,a,1758,17,111111111101101100101100
112582,sāman,Neut,an,1748,19,111111111101101111111000
53077,arjuna,Masc,a,1741,17,111110111110110110100110
15670,patnī,Fem,ii,1715,22,111111111111101111101111
116305,śakti,Fem,i,1702,17,111111111100100111101100
52112,cūrṇa,Neut,a,1694,14,101111111000100111101000
91589,dhana,Neut,a,1689,17,111111101100101111101100
65418,rakṣas,Neut,as,1680,17,111101101101101111101100
111085,hotṛ,Masc,r_vocalic,1680,19,111111111111100101101101
98854,sūta,Masc,a,1676,16,111101111100100111101100
36182,manuṣya,Masc,a,1665,16,101101101101101111101001
1557,kanyā,Fem,aa,1658,16,111111101101000111101100
